"district","hour","act1","act2","act3","act4","act5"
"020","8am",9973.02,2744.5913,1831.6108,0,115.8692
"021","8am",6385.063,3387.865,1908.3263,247.963,217.6007
"022","8am",7593.36,1324.3989,63.672,90.9398,35.8843
"023","8am",8553.368,13151.3691,1281.195,83.7689,599.1016
"024","8am",7310.638,5235.7411,15147.2749,0,424.2489
"025","8am",3173.181,9603.242,142.0954,173.2884,356.2118
"026","8am",3732.39,1511.1299,53.0817,0,34.1692
"027","8am",6691.351,3916.2118,228.5866,419.3473,571.8587
"028","8am",6097.319,11599.0263,6372.1921,0,337.3586
"029","8am",5412.439,17008.3856,1079.0954,0,0
"030","8am",8439.165,20182.5899,2375.7602,0,323.8448
"031","8am",5752.269,1905.8804,181.4246,91.803,119.5332
"032","8am",6686.077,5201.2331,964.1478,251.4996,140.6033
"033","8am",4915.099,2237.5504,1568.4407,0,48.0887
"034","8am",5377.957,3439.1377,142.8838,47.5552,397.8276
"035","8am",6322.973,2553.4425,1859.8091,251.2393,218.0181
"036","8am",9309.274,1558.4296,393.8161,0,635.5468
"037","8am",4297.074,5047.9675,2016.3717,0,177.5342
"038","8am",8821.858,8390.8656,697.5892,520.1423,355.9713
"039","8am",3384.759,1272.7025,0,0,147.9186
"040","8am",5465.24,1581.1739,200.0888,195.2662,124.2095
"041","8am",8438.101,3936.7461,0,49.3424,286.2359
"042","8am",4120.711,2705.8959,23.9264,0,126.1272
"043","8am",6350.596,1676.3648,0,265.041,249.6196
"044","8am",4613.329,1725.443,30.0296,0,616.4246
"045","8am",4414.165,1495.1002,311.8932,109.5776,218.9154
"046","8am",4090.573,7191.2981,1067.1251,372.4312,94.5107
"047","8am",4616.311,2640.3904,2555.0216,68.5853,347.121
"048","8am",3195.171,403.4216,0,0,0
"049","8am",5856.056,4306.5397,82.4662,534.5733,96.0245
"050","8am",9569.05,2961.3292,186.1547,208.9527,183.7199
"051","8am",9277.775,1800.3098,0,107.8115,126.9451
"052","8am",5950.578,1824.8924,0,468.6458,373.6164
"053","8am",7245.636,1623.895,403.6081,0,0
"054","8am",11566.881,5068.7937,1409.0701,400.47,564.7481
"055","8am",5362.558,607.1656,116.8391,70.4071,70.4071
"056","8am",4358.982,1962.9664,172.7046,59.2228,201.0441
"057","8am",5938.544,1427.815,0,0,66.3375
"058","8am",3385.43,583.8466,200.8745,0,51.9173
"059","8am",5503.89,954.741,0,61.0055,351.1013
"060","8am",5773.436,653.9653,0,0,0
"061","8am",7605.803,1036.5001,0,0,183.2273
"062","8am",8230.798,2744.534,659.8,298.8646,0
"063","8am",2788.164,88.8917,0,0,29.6434
"064","8am",8434.892,2336.1437,124.8374,91.2303,513.338
"065","8am",5578.518,1759.3018,0,0,214.4181
"066","8am",5923.452,3996.3062,0,357.1124,0
"001","9am",3955.66,4437.3929,1534.4915,341.0163,1443.1856
"002","9am",7502.077,11858.8211,13398.3493,2467.3552,1388.8933
"003","9am",8494.266,9085.3199,1952.8668,321.5476,1278.1783
"004","9am",6009.035,8057.2319,2183.8544,680.0375,1168.9083
"005","9am",7404.653,3985.8879,1190.7177,238.7657,297.9221
"006","9am",6786.94,6712.6128,547.1405,385.5353,698.5881
"007","9am",5497.527,2732.0905,1838.2459,380.7313,473.939
"008","9am",7708.091,3950.8898,239.3041,65.9818,865.7842
"009","9am",6921.717,2952.2933,2113.7322,0,380.7851
"010","9am",6947.825,2323.1143,43.2907,315.8676,667.2542
"011","9am",7655.739,2767.5836,454.5185,117.5448,728.6337
"012","9am",3306.247,868.579,193.0382,0,289.9994
"013","9am",9118.761,6122.8038,1797.1588,214.7047,1129.8526
"014","9am",2707.44,1734.8801,360.4977,45.6983,174.7827
"015","9am",7532.918,1764.9182,0,493.9313,321.0664
"016","9am",5493.95,2483.0808,4160.3073,187.7495,924.6437
"017","9am",2131.944,4836.2637,1384.2828,115.0809,592.4751
"018","9am",2371.585,4540.2047,110.621,324.7771,375.3737
"019","9am",5908.979,1728.695,570.1281,0,862.5864
"020","9am",8569.438,3176.9331,1798.296,159.1599,478.0219
"021","9am",5750.44,3633.1103,2075.8641,1286.9822,506.0331
"022","9am",6506.103,1662.9937,63.672,0,358.1043
"023","9am",7711.908,16946.6509,1383.1115,160.0611,912.7274
"024","9am",5552.252,6276.2436,17728.9821,49.2288,407.4345
"025","9am",2910.928,10728.1497,142.0954,399.9911,387.5481
"026","9am",2932.404,1774.3386,53.0817,0,192.227
"027","9am",5883.434,4457.0702,311.0216,312.0549,1204.9034
"028","9am",5164.828,14355.6356,7822.4079,106.9898,589.7762
"029","9am",4688.767,19612.7064,1292.6418,172.4625,114.8659
"030","9am",7201.252,24637.0512,2685.1924,840.2988,704.3224
"031","9am",4676.666,2232.894,181.4246,278.2443,162.4975
"032","9am",5700.163,5975.7435,1026.1424,381.7682,277.5443
